DP,DPNOM,DPMP,MPIO,Pop_2005
05,Antioquia,05001,Medellín,2214494
05,Antioquia,05002,Abejorral,20249
05,Antioquia,05004,Abriaquí,2690
05,Antioquia,05021,Alejandría,3816
05,Antioquia,05030,Amagá,27155
05,Antioquia,05031,Amalfi,20525
05,Antioquia,05034,Andes,41591
05,Antioquia,05036,Angelópolis,7641
05,Antioquia,05038,Angostura,12519
05,Antioquia,05040,Anorí,15016
05,Antioquia,05042,Santafé de Antioquia,22903
05,Antioquia,05044,Anza,7415
05,Antioquia,05045,Apartadó,131405
05,Antioquia,05051,Arboletes,30738
05,Antioquia,05055,Argelia,10091
05,Antioquia,05059,Armenia,5196
05,Antioquia,05079,Barbosa,42439
05,Antioquia,05086,Belmira,6188
05,Antioquia,05088,Bello,371591
05,Antioquia,05091,Betania,10246
05,Antioquia,05093,Betulia,16725
05,Antioquia,05101,Ciudad Bolívar,28279
05,Antioquia,05107,Briceño,8783
05,Antioquia,05113,Buriticá,6955
05,Antioquia,05120,Cáceres,28945
05,Antioquia,05125,Caicedo,7686
05,Antioquia,05129,Caldas,67999
05,Antioquia,05134,Campamento,9688
05,Antioquia,05138,Cañasgordas,16816
05,Antioquia,05142,Caracolí,4855
05,Antioquia,05145,Caramanta,5510
05,Antioquia,05147,Carepa,43125
05,Antioquia,05148,El Carmen de Viboral,41012
05,Antioquia,05150,Carolina,3971
05,Antioquia,05154,Caucasia,87532
05,Antioquia,05172,Chigorodó,58911
05,Antioquia,05190,Cisneros,9682
05,Antioquia,05197,Cocorná,15119
05,Antioquia,05206,Concepción,4509
05,Antioquia,05209,Concordia,21420
05,Antioquia,05212,Copacabana,61234
05,Antioquia,05234,Dabeiba,24084
05,Antioquia,05237,Don Matías,17701
05,Antioquia,05240,Ebéjico,12511
05,Antioquia,05250,El Bagre,46020
05,Antioquia,05264,Entrerrios,8447
05,Antioquia,05266,Envigado,174108
05,Antioquia,05282,Fredonia,22692
05,Antioquia,05284,Frontino,20031
05,Antioquia,05306,Giraldo,4188
05,Antioquia,05308,Girardota,42566
05,Antioquia,05310,Gómez Plata,11252
05,Antioquia,05313,Granada,9789
05,Antioquia,05315,Guadalupe,6231
05,Antioquia,05318,Guarne,39541
05,Antioquia,05321,Guatapé,5838
05,Antioquia,05347,Heliconia,6656
05,Antioquia,05353,Hispania,4821
05,Antioquia,05360,Itagui,235016
05,Antioquia,05361,Ituango,25088
05,Antioquia,05364,Jardín,14433
05,Antioquia,05368,Jericó,12789
05,Antioquia,05376,La Ceja,46268
05,Antioquia,05380,La Estrella,52563
05,Antioquia,05390,La Pintada,7066
05,Antioquia,05400,La Unión,17842
05,Antioquia,05411,Liborina,9475
05,Antioquia,05425,Maceo,7630
05,Antioquia,05440,Marinilla,45548
05,Antioquia,05467,Montebello,7523
05,Antioquia,05475,Murindó,3736
05,Antioquia,05480,Mutatá,16428
05,Antioquia,05483,Nariño,15579
05,Antioquia,05490,Necoclí,47989
05,Antioquia,05495,Nechí,20668
05,Antioquia,05501,Olaya,2916
05,Antioquia,05541,Peñol,16241
05,Antioquia,05543,Peque,9621
05,Antioquia,05576,Pueblorrico,8294
05,Antioquia,05579,Puerto Berrío,38953
05,Antioquia,05585,Puerto Nare,16690
05,Antioquia,05591,Puerto Triunfo,16248
05,Antioquia,05604,Remedios,22769
05,Antioquia,05607,Retiro,16976
05,Antioquia,05615,Rionegro,100502
05,Antioquia,05628,Sabanalarga,8193
05,Antioquia,05631,Sabaneta,44480
05,Antioquia,05642,Salgar,18206
05,Antioquia,05647,San Andrés de Cuerquía,7367
05,Antioquia,05649,San Carlos,15826
05,Antioquia,05652,San Francisco,6395
05,Antioquia,05656,San Jerónimo,11627
05,Antioquia,05658,San José de La Montaña,3103
05,Antioquia,05659,San Juan de Urabá,20899
05,Antioquia,05660,San Luis,11009
05,Antioquia,05664,San Pedro,22066
05,Antioquia,05665,San Pedro de Uraba,28772
05,Antioquia,05667,San Rafael,13530
05,Antioquia,05670,San Roque,18157
05,Antioquia,05674,San Vicente,19438
05,Antioquia,05679,Santa Bárbara,23590
05,Antioquia,05686,Santa Rosa de Osos,31025
05,Antioquia,05690,Santo Domingo,11567
05,Antioquia,05697,El Santuario,26287
05,Antioquia,05736,Segovia,35071
05,Antioquia,05756,Sonson,38779
05,Antioquia,05761,Sopetrán,13385
05,Antioquia,05789,Támesis,16387
05,Antioquia,05790,Tarazá,32943
05,Antioquia,05792,Tarso,7155
05,Antioquia,05809,Titiribí,13317
05,Antioquia,05819,Toledo,5697
05,Antioquia,05837,Turbo,121919
05,Antioquia,05842,Uramita,8304
05,Antioquia,05847,Urrao,38923
05,Antioquia,05854,Valdivia,17290
05,Antioquia,05856,Valparaíso,6324
05,Antioquia,05858,Vegachí,11293
05,Antioquia,05861,Venecia,13419
05,Antioquia,05873,Vigía del Fuerte,5487
05,Antioquia,05885,Yalí,7734
05,Antioquia,05887,Yarumal,41240
05,Antioquia,05890,Yolombó,20025
05,Antioquia,05893,Yondó,15097
05,Antioquia,05895,Zaragoza,26959
08,Atlántico,08001,Barranquilla,1146359
08,Atlántico,08078,Baranoa,51571
08,Atlántico,08137,Campo de La Cruz,19107
08,Atlántico,08141,Candelaria,12035
08,Atlántico,08296,Galapa,32012
08,Atlántico,08372,Juan de Acosta,14578
08,Atlántico,08421,Luruaco,23558
08,Atlántico,08433,Malambo,101280
08,Atlántico,08436,Manatí,13810
08,Atlántico,08520,Palmar de Varela,23674
08,Atlántico,08549,Piojó,5017
08,Atlántico,08558,Polonuevo,13897
08,Atlántico,08560,Ponedera,18954
08,Atlántico,08573,Puerto Colombia,27837
08,Atlántico,08606,Repelón,22873
08,Atlántico,08634,Sabanagrande,25399
08,Atlántico,08638,Sabanalarga,86631
08,Atlántico,08675,Santa Lucía,12418
08,Atlántico,08685,Santo Tomás,23874
08,Atlántico,08758,Soledad,461851
08,Atlántico,08770,Suan,9702
08,Atlántico,08832,Tubará,10915
08,Atlántico,08849,Usiacurí,8804
11,"Bogotá, D.C.",11001,"Bogotá, D.C.",6840116
13,Bolívar,13001,Cartagena,892545
13,Bolívar,13006,Achí,19644
13,Bolívar,13030,Altos del Rosario,11357
13,Bolívar,13042,Arenal,15414
13,Bolívar,13052,Arjona,60407
13,Bolívar,13062,Arroyohondo,8804
13,Bolívar,13074,Barranco de Loba,15148
13,Bolívar,13140,Calamar,20722
13,Bolívar,13160,Cantagallo,7811
13,Bolívar,13188,Cicuco,11094
13,Bolívar,13212,Córdoba,13113
13,Bolívar,13222,Clemencia,11714
13,Bolívar,13244,El Carmen de Bolívar,67952
13,Bolívar,13248,El Guamo,7826
13,Bolívar,13268,El Peñón,7807
13,Bolívar,13300,Hatillo de Loba,11470
13,Bolívar,13430,Magangué,121515
13,Bolívar,13433,Mahates,22929
13,Bolívar,13440,Margarita,9406
13,Bolívar,13442,María La Baja,45395
13,Bolívar,13458,Montecristo,16973
13,Bolívar,13468,Mompós,41565
13,Bolívar,13473,Morales,18523
13,Bolívar,13490,Norosí (1),0
13,Bolívar,13549,Pinillos,22801
13,Bolívar,13580,Regidor,8796
13,Bolívar,13600,Río Viejo (1)(3),21060
13,Bolívar,13620,San Cristóbal,6561
13,Bolívar,13647,San Estanislao,15312
13,Bolívar,13650,San Fernando,12965
13,Bolívar,13654,San Jacinto,21593
13,Bolívar,13655,San Jacinto del Cauca,10935
13,Bolívar,13657,San Juan Nepomuceno,32514
13,Bolívar,13667,San Martín de Loba,14248
13,Bolívar,13670,San Pablo,27010
13,Bolívar,13673,Santa Catalina,12058
13,Bolívar,13683,Santa Rosa,18195
13,Bolívar,13688,Santa Rosa del Sur,34015
13,Bolívar,13744,Simití,18418
13,Bolívar,13760,Soplaviento,8281
13,Bolívar,13780,Talaigua Nuevo,11086
13,Bolívar,13810,Tiquisio,18786
13,Bolívar,13836,Turbaco,63046
13,Bolívar,13838,Turbaná,13493
13,Bolívar,13873,Villanueva,17576
13,Bolívar,13894,Zambrano,11110
15,Boyacá,15001,Tunja,154096
15,Boyacá,15022,Almeida,2294
15,Boyacá,15047,Aquitania,16592
15,Boyacá,15051,Arcabuco,5198
15,Boyacá,15087,Belén,9041
15,Boyacá,15090,Berbeo,1913
15,Boyacá,15092,Betéitiva,2479
15,Boyacá,15097,Boavita,8796
15,Boyacá,15104,Boyacá,5074
15,Boyacá,15106,Briceño,2748
15,Boyacá,15109,Buenavista,5889
15,Boyacá,15114,Busbanzá,885
15,Boyacá,15131,Caldas,4050
15,Boyacá,15135,Campohermoso,4065
15,Boyacá,15162,Cerinza,4312
15,Boyacá,15172,Chinavita,3741
15,Boyacá,15176,Chiquinquirá,55786
15,Boyacá,15180,Chiscas,5372
15,Boyacá,15183,Chita,10844
15,Boyacá,15185,Chitaraque,6711
15,Boyacá,15187,Chivatá,5049
15,Boyacá,15189,Ciénega,5242
15,Boyacá,15204,Cómbita,12981
15,Boyacá,15212,Coper,4201
15,Boyacá,15215,Corrales,2544
15,Boyacá,15218,Covarachía,3324
15,Boyacá,15223,Cubará,6614
15,Boyacá,15224,Cucaita,4568
15,Boyacá,15226,Cuítiva,2011
15,Boyacá,15232,Chíquiza,6073
15,Boyacá,15236,Chivor,2232
15,Boyacá,15238,Duitama,107406
15,Boyacá,15244,El Cocuy,5582
